url,namn,annat_namn,kategori,muggnummer,tillverkad,tema,varumarke,designer,vikt,volym,material,bildfil
https://www.mukify.com/sv/arabia-muminmugg-hattifnattarna-2007,Hattifnattarna,,Muminmugg,34,2007–,,Arabia,Kaj Franck,250 g,300 ml,Vitroporslin,mug_images/arabia-muminmugg-hattifnattarna-2007.jpg
https://www.mukify.com/sv/arabia-muminmugg-vinternatt-2006,Vinternatt,,Muminmugg,33,2006,Vintersäsong,Arabia,Kaj Franck,250 g,300 ml,Vitroporslin,mug_images/arabia-muminmugg-vinternatt-2006.jpg
https://www.mukify.com/sv/arabia-muminmugg-simhopp-2006,Simhopp,,Muminmugg,32,2006,Sommarsäsong,Arabia,Kaj Franck,250 g,300 ml,Vitroporslin,mug_images/arabia-muminmugg-simhopp-2006.jpg
https://www.mukify.com/sv/arabia-muminmugg-too-ticki-2006-2015,Too-ticki,,Muminmugg,31,2006–2015,Karaktärer,Arabia,Kaj Franck,250 g,300 ml,Vitroporslin,mug_images/arabia-muminmugg-too-ticki-2006-2015.jpg
https://www.mukify.com/sv/arabia-muminmugg-tofslan-och-vifslan-2005-2017,Tofslan och Vifslan,,Muminmugg,30,2005–2017,Karaktärer,Arabia,Kaj Franck,250 g,300 ml,Vitroporslin,mug_images/arabia-muminmugg-tofslan-och-vifslan-2005-2017.jpg
https://www.mukify.com/sv/arabia-muminmugg-mumintrollet-dagdrommer-2005,Mumintrollet dagdrömmer,,Muminmugg,29,2005,Special produkter,Arabia,Kaj Franck,250 g,300 ml,Vitroporslin,mug_images/arabia-muminmugg-mumintrollet-dagdrommer-2005.jpg
https://www.mukify.com/sv/arabia-muminmugg-marran-2005,Mårran,,Muminmugg,28,2005–,,Arabia,Kaj Franck,250 g,300 ml,Vitroporslin,mug_images/arabia-muminmugg-marran-2005.jpg
https://www.mukify.com/sv/arabia-muminmugg-fazer-2004,Fazer,,Muminmugg,27,2004,Special produkter,Arabia,Kaj Franck,250 g,300 ml,Vitroporslin,mug_images/arabia-muminmugg-fazer-2004.jpg
https://www.mukify.com/sv/arabia-muminmugg-julmugg-2004-2005,Julmugg,,Muminmugg,26,2004,Jul,Arabia,Kaj Franck,250 g,300 ml,Vitroporslin,mug_images/arabia-muminmugg-julmugg-2004-2005.jpg
https://www.mukify.com/sv/arabia-muminmugg-hemulen-2004-2013,Hemulen,,Muminmugg,25,2004–2013,Karaktärer,Arabia,Kaj Franck,250 g,300 ml,Vitroporslin,mug_images/arabia-muminmugg-hemulen-2004-2013.jpg
